description,year,name,region,on_churchill,on_map,region_edited
"
              To investigate the latest developments in the clinical assessment and remediation of Aphasia (loss of language due to brain damage) - USA
            ",1991,"FERGUSON, Alison",USA,yes,yes,yes
"
              To study trends in the areas of family support and child protection - USA
            ",1991,"FINDLAY-BARNES, Teresa",USA,yes,yes,yes
"
              To study traditional Japanese woodworking and papermaking - Japan
            ",1991,"FORTESCUE, Donald",Japan,yes,yes,yes
"
              To investigate primary science programmes and teaching practices as developed by country education boards and teacher networks - UK
            ",1991,"GARSON, Barry",UK,yes,yes,yes
"
              To study student and public programmes conducted by art galleries and museums - USA, UK, France, Italy
            ",1991,"GAUGHAN, Henry",USA,yes,yes,yes
"
              To study student and public programmes conducted by art galleries and museums - USA, UK, France, Italy
            ",1991,"GAUGHAN, Henry",UK,yes,yes,yes
"
              To study student and public programmes conducted by art galleries and museums - USA, UK, France, Italy
            ",1991,"GAUGHAN, Henry",France,yes,yes,yes
"
              To study student and public programmes conducted by art galleries and museums - USA, UK, France, Italy
            ",1991,"GAUGHAN, Henry",Italy,yes,yes,yes
"
              To study programmes designed to assist farm families and rural communities which are experiencing financial difficulty and high pressure for adjustment - USA, Canada
            ",1991,"GINNIVAN, Denis",USA,yes,yes,yes
"
              To study programmes designed to assist farm families and rural communities which are experiencing financial difficulty and high pressure for adjustment - USA, Canada
            ",1991,"GINNIVAN, Denis",Canada,yes,yes,yes
"
              To investigate emerging clinical application of Doppler ultrasound in the diagnosis of disease and evaluation of pregnancy - USA, Yugoslavia, Netherlands, UK
            ",1991,"GRIFFITHS, Kaye",USA,yes,yes,yes
"
              To investigate emerging clinical application of Doppler ultrasound in the diagnosis of disease and evaluation of pregnancy - USA, Yugoslavia, Netherlands, UK
            ",1991,"GRIFFITHS, Kaye",Netherlands,yes,yes,yes
"
              To investigate emerging clinical application of Doppler ultrasound in the diagnosis of disease and evaluation of pregnancy - USA, Yugoslavia, Netherlands, UK
            ",1991,"GRIFFITHS, Kaye",UK,yes,yes,yes
"
              The Swire Group Churchill Fellowship to investigate the measures taken to control woody weeds in order to help find an economical solution to the woody weed degradation occurring on Australian rangelands - USA
            ",1991,"HAMS, Max",USA,yes,yes,yes
"
              The Medicheck Churchill Fellowship to study the latest developments in the use of haemophilus influenzae vaccine and the evaluation of vaccines - USA, Switzerland, UK, Finland
            ",1991,"HANNA, Jeffrey",USA,yes,yes,yes
"
              The Medicheck Churchill Fellowship to study the latest developments in the use of haemophilus influenzae vaccine and the evaluation of vaccines - USA, Switzerland, UK, Finland
            ",1991,"HANNA, Jeffrey",Switzerland,yes,yes,yes
"
              The Medicheck Churchill Fellowship to study the latest developments in the use of haemophilus influenzae vaccine and the evaluation of vaccines - USA, Switzerland, UK, Finland
            ",1991,"HANNA, Jeffrey",UK,yes,yes,yes
"
              The Medicheck Churchill Fellowship to study the latest developments in the use of haemophilus influenzae vaccine and the evaluation of vaccines - USA, Switzerland, UK, Finland
            ",1991,"HANNA, Jeffrey",Finland,yes,yes,yes
"
              To attend the annual conference of the International Plant Propagation Society in Perth, and various other follow-up visits - Australia
            ",1991,"HART, Roger",Australia,yes,yes,yes
"
              To study the techniques used and the applications of architectural etched and decorated glass - UK, Germany
            ",1991,"HARTLEY, Wayne",UK,yes,yes,yes
"
              To study the techniques used and the applications of architectural etched and decorated glass - UK, Germany
            ",1991,"HARTLEY, Wayne",Germany,yes,yes,yes
"
              To study audiological care of hearing impaired Inuits in order to apply the lessons learned to children in North Queensland Aboriginal communities - Canada
            ",1991,"HENDERSON, Ian",Canada,yes,yes,yes
